page,visits,potential_earnings
/blog/bali-atv-adventure-guide,122,13.83
/blog/bali-travel-essentials,122,0.00
/blog/bbc-top-travel-destinations-komodo,121,0.00
/blog/2026-03-21-bali-driver-recommend-p2,120,0.00
/blog/bali-rafting-ayung-telaga-waja,120,0.00
/blog/hiliwatu-marriott-ubud,117,0.00
/blog/rc-is-bali-worth-visiting,117,0.00
/blog/ubud-campuhan-ridge-walk,117,0.00
/blog/bali-tanah-lot-guide,116,0.00
/blog/tirta-empul-temple-guide,115,0.00
/blog/2026-bali-festival-guide,112,0.00
/blog/bali-family-travel-guide-2,112,0.00
/blog/holiday-inn-bali-canggu,112,0.00
/blog/bali-safety-travel-tips,111,0.00
/blog/bali-top-500-attractions,111,0.00
/blog/bali-12-day-travel-tips,110,0.00
/blog/bali-free-travel-guide,109,0.00
/blog/bali-elderly-travel-guide-2,108,0.00
/blog/bali-turtle-watching-guide,107,0.00
/blog/bali-nusa-penida-10-day-trip,106,0.00
/blog/canggu-villas-guide,105,31.62
