slug,title,collection,url_path,total_score,score_A_answer,score_B_schema,score_C_extract,score_D_entity,score_E_fresh,has_tldr,has_faq,has_schema_type,schema_types_found,has_table,avg_paragraph_length,question_headings_count,last_updated,word_count,top_fix_1,top_fix_2,top_fix_3
icon-bali-shopping-mall-opening,峇里島最大的購物中心【Icon Bali】將於2024年5月開幕,blog,/blog/icon-bali-shopping-mall-opening/,56.2,16.2,13,7,13,7,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,58,0,2024-05-02,804,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「峇里島最大的購物中心【Icon Bali】將於20」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-travel-app-motorcycle-taxi,【峇里島旅遊攻略】短途出行必備！叫車App叫機車，省時省力！,blog,/blog/bali-travel-app-motorcycle-taxi/,46,12,9,12,8,5,yes,no,partial,Article|BreadcrumbList,no,63,0,2024-05-03,997,文末加「常見問題」H2區塊（3-5題問答），此分類會自動產FAQPage schema,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
bali-transportation-guide-car-rental,【峇里島交通全攻略】什麼時候該包車？什麼場合用 Gojek/Grab？包車 vs. 叫車優缺點與場景分析,blog,/blog/bali-transportation-guide-car-rental/,55.1,13.1,14,14,8,6,callout-only,section-only,partial,Article|BreadcrumbList,no,44,6,2024-05-05,1750,開頭150字內補直接回答段：針對「【峇里島交通全攻略】什麼時候該包車？什麼場合用 G」先給結論（推薦名單/價格區間/具體做法），再展開細節,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-peanut-allergy-tips,花生過敏！？去峇里島可以這樣做,blog,/blog/bali-peanut-allergy-tips/,40,8,9,10,8,5,yes,no,partial,Article|BreadcrumbList,no,59,0,2024-05-06,525,開頭150字內補直接回答段：針對「花生過敏！？去峇里島可以這樣做」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」H2區塊（3-5題問答），此分類會自動產FAQPage schema,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-visa-on-arrival-vs-evisa,入境印尼/峇里島落地簽 vs. 電子簽證：選擇的實際建議,blog,/blog/bali-visa-on-arrival-vs-evisa/,57.3,17.3,13,9,11,7,no,no,yes,Article|BreadcrumbList|HowTo,no,72,1,2024-05-06,1197,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-6-day-volcano-beach-trip,【峇里島遊記】六天五夜探索火山、沙灘、跳島之旅體驗分享,blog,/blog/bali-6-day-volcano-beach-trip/,54.6,13,12,11.6,11,7,callout-only,no,yes,Article|BreadcrumbList,no,41,0,2024-05-07,2396,開頭150字內補直接回答段：針對「【峇里島遊記】六天五夜探索火山、沙灘、跳島之旅體驗」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
bali-tipping-guide-driver-spa,【峇里島小費攻略】小費怎麼給？包車司機、按摩 SPA、飯店床頭小費行情全解析,blog,/blog/bali-tipping-guide-driver-spa/,59.3,20.3,20,7,8,4,yes,yes,yes,Article|BreadcrumbList|FAQPage,no,61,1,2024-05-07,805,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,開頭150字內補直接回答段：針對「【峇里島小費攻略】小費怎麼給？包車司機、按摩 SP」先給結論（推薦名單/價格區間/具體做法），再展開細節
travel-content-copyright-infringement,你在盜用我們的內容嗎?,blog,/blog/travel-content-copyright-infringement/,49,5,20,7,11,6,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,82,0,2024-05-08,1489,開頭150字內補直接回答段：針對「你在盜用我們的內容嗎?」先給結論（推薦名單/價格區間/具體做法），再展開細節,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-evisa-application-tutorial,[影片教學] 印尼/峇里島電子簽證詳細步驟申請教學,blog,/blog/bali-evisa-application-tutorial/,27,0,8,7,8,4,no,no,partial,Article|BreadcrumbList,no,54,0,2024-05-10,615,開頭150字內補直接回答段：針對「[影片教學] 印尼/峇里島電子簽證詳細步驟申請教學」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-credit-card-travel-tips,峇里島使用信用卡方便嗎？刷卡划算嗎？,blog,/blog/bali-credit-card-travel-tips/,44.5,4.5,19,10,6,5,no,yes,yes,Article|BreadcrumbList|FAQPage,no,48,0,2024-05-11,1378,開頭150字內補直接回答段：針對「峇里島使用信用卡方便嗎？刷卡划算嗎？」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
bali-family-resorts-kids-club,峇里島18家 kids club 親子度假村｜庫塔、水明漾、長谷、金巴蘭、烏魯瓦圖、烏布適合家庭度假的最佳選擇,blog,/blog/bali-family-resorts-kids-club/,50,11.4,8,13.6,11,6,callout-only,no,partial,Article|BreadcrumbList,no,79,0,2024-05-14,9109,開頭150字內補直接回答段：針對「峇里島18家 kids club 親子度假村｜庫塔」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,缺Hotel schema：hotel-cache.json是空的，跑scripts/fetch-hotel-data.mjs補快取即可自動輸出（layout層一次解決）
bali-family-trip-gwk-beach-club,【兩大兩小的峇里島親子遊記】Day 2：GWK神鷹廣場、烏魯瓦圖免費海灘俱樂部、烏魯瓦圖廟、烏魯瓦圖火舞,blog,/blog/bali-family-trip-gwk-beach-club/,54.3,6.3,12,14,15,7,no,no,yes,Article|BreadcrumbList,no,36,0,2024-05-17,4175,開頭150字內補直接回答段：針對「【兩大兩小的峇里島親子遊記】Day 2：GWK神鷹」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-family-day-safari-flamingo,峇里島親子一日遊攻略：探索野生動物園與紅鶴海灘俱樂部,blog,/blog/bali-family-day-safari-flamingo/,46.1,10.1,10,9,11,6,callout-only,no,partial,Article|BreadcrumbList,no,89,0,2024-05-17,1127,開頭150字內補直接回答段：針對「峇里島親子一日遊攻略：探索野生動物園與紅鶴海灘俱樂」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-evisa-error-correction,印尼/峇里島電子簽證申請小插曲：如何修改e-VOA資料錯誤？,blog,/blog/bali-evisa-error-correction/,45.9,8.7,13,6.2,11,7,no,no,yes,Article|BreadcrumbList|HowTo,no,54,1,2024-05-18,955,開頭150字內補直接回答段：針對「印尼/峇里島電子簽證申請小插曲：如何修改e-VOA」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-arts-festival-2024,2024 Bali Arts Festival 峇里島藝術節六月十五日開始為期一個月,blog,/blog/bali-arts-festival-2024/,63.5,17,17,9.5,15,5,callout-only,section-only,yes,Article|BreadcrumbList|LocalBusiness,no,97,6,2024-05-18,2412,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
starlink-indonesia-bali-pricing,Starlink進入印尼/峇里島｜一個月多少錢？如何訂？,blog,/blog/starlink-indonesia-bali-pricing/,64.6,11.6,24,14,10,5,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,50,3,2024-05-19,1233,開頭150字內補直接回答段：針對「Starlink進入印尼/峇里島｜一個月多少錢？如」先給結論（推薦名單/價格區間/具體做法），再展開細節,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
bali-30-day-visa-misconceptions,印尼/峇里島旅行必讀：30天落地簽證的常見誤區與解答,blog,/blog/bali-30-day-visa-misconceptions/,54.8,15.8,14,10,8,7,callout-only,no,yes,Article|BreadcrumbList|HowTo,no,63,2,2024-05-21,1243,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,開頭150字內補直接回答段：針對「印尼/峇里島旅行必讀：30天落地簽證的常見誤區與解」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-souvenirs-gift-guide,【網友推薦】六大種類，超過20項必買推薦、峇里島伴手禮推薦指南：留住珍貴回憶的絕佳選擇,blog,/blog/bali-souvenirs-gift-guide/,62.2,11.1,19,13.1,13,6,no,yes,yes,Article|BreadcrumbList|FAQPage,no,68,0,2024-05-22,6196,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,開頭150字內補直接回答段：針對「【網友推薦】六大種類，超過20項必買推薦、峇里島伴」先給結論（推薦名單/價格區間/具體做法），再展開細節,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-grab-gojek-scam-tips,峇里島APP網約車司機的套路：如何避免Grab/Gojek陷阱？,blog,/blog/bali-grab-gojek-scam-tips/,48.9,13,10,7.9,13,5,callout-only,no,partial,Article|BreadcrumbList,no,87,0,2024-05-27,1093,開頭150字內補直接回答段：針對「峇里島APP網約車司機的套路：如何避免Grab/G」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-tourism-tax-explained,不繳也可以？峇里島觀光稅/旅遊稅究竟是什麼？,blog,/blog/bali-tourism-tax-explained/,66,26,14,12,8,6,yes,no,yes,Article|BreadcrumbList|HowTo,no,51,0,2024-05-28,1117,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
nusa-penida-ferry-experience-bali,峇里島到帕尼達/佩尼達島的搭船經驗/精彩遊記,blog,/blog/nusa-penida-ferry-experience-bali/,48.1,4.8,13,10.3,13,7,no,no,yes,Article|BreadcrumbList|LocalBusiness,no,84,0,2024-05-29,1637,開頭150字內補直接回答段：針對「峇里島到帕尼達/佩尼達島的搭船經驗/精彩遊記」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-private-jet-villa-guide,超越想像的度假體驗：峇里島飛機別墅（Private Jet Villa）全攻略,blog,/blog/bali-private-jet-villa-guide/,60.5,14.5,11,13,15,7,callout-only,section-only,partial,Article|BreadcrumbList,no,44,1,2025-08-24,1271,缺Hotel schema：hotel-cache.json是空的，跑scripts/fetch-hotel-data.mjs補快取即可自動輸出（layout層一次解決）,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「超越想像的度假體驗：峇里島飛機別墅（Private」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-peak-season-travel-tips,峇里島居然有五個旅遊旺季！如何避開旺季聰明旅遊？,blog,/blog/bali-peak-season-travel-tips/,62.3,16.1,20,9.2,11,6,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,58,0,2024-06-04,1600,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-airport-transfer-guide,抵達峇里島：接機的交通選擇及第一天的實用建議,blog,/blog/bali-airport-transfer-guide/,57.1,11.1,20,10,11,5,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,22,0,2024-06-05,1758,開頭150字內補直接回答段：針對「抵達峇里島：接機的交通選擇及第一天的實用建議」先給結論（推薦名單/價格區間/具體做法），再展開細節,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
bali-local-experience-tour,嘗試巴里島非觀光客行程: 探索峇里島最在地的旅遊體驗,blog,/blog/bali-local-experience-tour/,58.4,19,12,10.4,11,6,callout-only,no,yes,Article|BreadcrumbList,no,70,0,2024-06-06,1735,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
instant-noodles-indonesia-customs,泡麵、奶粉可以帶到印尼/峇里島嗎？,blog,/blog/instant-noodles-indonesia-customs/,69.4,20.2,24,11.2,8,6,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,44,0,2024-06-07,1169,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
icon-bali-shopping-mall-sanur,【峇里島新地標】Icon Bali 購物中心全攻略：沙努爾必訪蝴蝶園、室內市場與全台唯一海濱影城,blog,/blog/icon-bali-shopping-mall-sanur/,52.4,14.7,13,7.7,13,4,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,84,0,2024-06-08,860,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「【峇里島新地標】Icon Bali 購物中心全攻略」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-motorbike-safety-guide,峇里島機車事故自救指南：國際駕照規定、保險理賠漏洞與如何安全移動全攻略,blog,/blog/bali-motorbike-safety-guide/,51.3,11.3,20,7,8,5,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,48,0,2024-06-10,642,開頭150字內補直接回答段：針對「峇里島機車事故自救指南：國際駕照規定、保險理賠漏洞」先給結論（推薦名單/價格區間/具體做法），再展開細節,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱
nusa-penida-cliff-elevator,佩尼達島懸崖電梯開始動工了！,blog,/blog/nusa-penida-cliff-elevator/,54.7,8.7,17,10,13,6,no,section-only,yes,Article|BreadcrumbList|LocalBusiness,no,44,0,2024-06-12,1497,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,開頭150字內補直接回答段：針對「佩尼達島懸崖電梯開始動工了！」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
uluwatu-top-attractions-bali,峇里島烏魯瓦圖十大景點/必做活動,blog,/blog/uluwatu-top-attractions-bali/,52.9,10.5,13,12.4,11,6,no,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,87,0,2024-06-16,3126,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,開頭150字內補直接回答段：針對「峇里島烏魯瓦圖十大景點/必做活動」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-honeymoon-travel-guide,峇里島蜜月遊記推薦&分享,blog,/blog/bali-honeymoon-travel-guide/,49,8.3,13,9.7,11,7,no,no,yes,Article|BreadcrumbList,no,72,0,2024-06-18,3950,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-girls-trip-5-days,峇里島Girls Trip👧：上山下海的五天遊記,blog,/blog/bali-girls-trip-5-days/,43.5,4.5,12,9,13,5,no,no,yes,Article|BreadcrumbList,no,50,0,2024-06-20,1329,開頭150字內補直接回答段：針對「峇里島Girls Trip👧：上山下海的五天遊記」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
uluwatu-surfing-experience,帶著兩名辣妹烏魯瓦圖衝浪趣！,blog,/blog/uluwatu-surfing-experience/,39,0,13,7,13,6,no,no,yes,Article|BreadcrumbList|LocalBusiness,no,46,0,2024-06-25,612,開頭150字內補直接回答段：針對「帶著兩名辣妹烏魯瓦圖衝浪趣！」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-family-8-day-itinerary,【峇里島親子8日遊攻略遊記分享】八天玩遍大半個峇里島,blog,/blog/bali-family-8-day-itinerary/,52.4,6.2,13,13.2,11,9,no,no,yes,Article|BreadcrumbList,no,56,0,2025-11-10,8335,開頭150字內補直接回答段：針對「【峇里島親子8日遊攻略遊記分享】八天玩遍大半個峇里」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
mr-lobster-seafood-bali,探索峇里島的美味寶藏：龍蝦先生 Mr. Lobster 海鮮餐廳,blog,/blog/mr-lobster-seafood-bali/,54.5,10.5,13,11,15,5,callout-only,no,yes,Article|BreadcrumbList|LocalBusiness,no,57,0,2024-06-29,908,開頭150字內補直接回答段：針對「探索峇里島的美味寶藏：龍蝦先生 Mr. Lobst」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-mother-daughter-trip,【峇里島遊記】母女七天六夜峇里島自由行行程分享,blog,/blog/bali-mother-daughter-trip/,54.4,11.6,12,10.8,13,7,no,no,yes,Article|BreadcrumbList,no,54,0,2024-07-02,4686,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
taiwan-customs-regulations-2024,2024入境台灣必知規定，帶錯東西小心被罰！,blog,/blog/taiwan-customs-regulations-2024/,51.4,13.4,14,10,8,6,callout-only,no,yes,Article|BreadcrumbList|HowTo,no,49,0,2024-07-06,2297,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,開頭150字內補直接回答段：針對「2024入境台灣必知規定，帶錯東西小心被罰！」先給結論（推薦名單/價格區間/具體做法），再展開細節
bali-travel-insurance-guide-2,【峇里島驚魂】旅遊保險的重要性：峇里島一週內的五大悲劇,blog,/blog/bali-travel-insurance-guide-2/,57.5,9.5,20,10,13,5,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,78,0,2024-07-06,1662,開頭150字內補直接回答段：針對「【峇里島驚魂】旅遊保險的重要性：峇里島一週內的五大」先給結論（推薦名單/價格區間/具體做法），再展開細節,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
how-to-write-bali-travelogue,如何寫一篇精彩的峇里島遊記,blog,/blog/how-to-write-bali-travelogue/,50.4,11.4,11,12,11,5,no,no,yes,Article|BreadcrumbList,no,36,0,2024-07-06,979,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,開頭150字內補直接回答段：針對「如何寫一篇精彩的峇里島遊記」先給結論（推薦名單/價格區間/具體做法），再展開細節
ubud-jungle-cart-adventure,峇里島烏布叢林馬力歐賽車 Jungle Cart Bali,blog,/blog/ubud-jungle-cart-adventure/,62,13,17,12,13,7,callout-only,section-only,yes,Article|BreadcrumbList|LocalBusiness,no,45,0,2024-07-06,1740,開頭150字內補直接回答段：針對「峇里島烏布叢林馬力歐賽車 Jungle Cart 」先給結論（推薦名單/價格區間/具體做法），再展開細節,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-private-car-drivers-guide,【2026 峇里島包車推薦】網友評鑑司機名人榜：不踩雷真實點評與預約教學,blog,/blog/bali-private-car-drivers-guide/,53.9,19,10,7.9,11,6,callout-only,no,partial,Article|BreadcrumbList,no,96,0,2024-07-07,7045,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-5-day-itinerary-tips,峇里島5天4夜自由行詳細攻略,blog,/blog/bali-5-day-itinerary-tips/,55.9,11.1,13,13.8,11,7,callout-only,no,yes,Article|BreadcrumbList,no,33,0,2024-07-08,4657,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」,開頭150字內補直接回答段：針對「峇里島5天4夜自由行詳細攻略」先給結論（推薦名單/價格區間/具體做法），再展開細節
best-time-visit-bali,【現在去最好！？】峇里島幾月去最舒適？,blog,/blog/best-time-visit-bali/,61.5,18.5,20,10,8,5,yes,yes,yes,Article|BreadcrumbList|FAQPage,no,43,0,2024-07-09,566,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-sunset-spots-guide,【2026 峇里島日落攻略】7 大必去夕陽觀賞景點：精選斷崖廟、懸崖 Beach Club 與乾乾季日落時間避雷指南,blog,/blog/bali-sunset-spots-guide/,58.9,14.9,14,12,13,5,callout-only,no,yes,Article|BreadcrumbList|TouristDestination|Article/TravelAction,no,36,0,2024-07-10,831,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,開頭150字內補直接回答段：針對「【2026 峇里島日落攻略】7 大必去夕陽觀賞景點」先給結論（推薦名單/價格區間/具體做法），再展開細節,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
bali-visa-free-news,雙重驚喜 前進峇里島！,blog,/blog/bali-visa-free-news/,57.5,13.5,20,7,11,6,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,66,0,2024-07-12,702,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,開頭150字內補直接回答段：針對「雙重驚喜 前進峇里島！」先給結論（推薦名單/價格區間/具體做法），再展開細節,補明確格式的關鍵資訊：價格（Rp數字）、營業/所需時間、地址或Google Maps地點名
bali-7-day-trip-review,峇里島七天六夜之旅結束後的實用分享,blog,/blog/bali-7-day-trip-review/,53.8,14.8,12,10,11,6,no,no,yes,Article|BreadcrumbList,no,75,0,2024-07-13,1216,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡
bali-seminyak-jimbaran-uluwatu-trip,峇里島不跑烏布也很精彩的遊記,blog,/blog/bali-seminyak-jimbaran-uluwatu-trip/,49.9,5.9,12,12,13,7,no,no,yes,Article|BreadcrumbList,no,43,0,2024-07-14,3176,開頭150字內補直接回答段：針對「峇里島不跑烏布也很精彩的遊記」先給結論（推薦名單/價格區間/具體做法），再展開細節,文章開頭加TL;DR重點摘要（3-5個列點的快速結論），並補frontmatter description,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出
bali-kuta-jimbaran-uluwatu-ubud-adventure,[圖+文+短片]峇里島探險記：從庫塔、金巴蘭、到烏魯瓦圖、烏布的自由行體驗,blog,/blog/bali-kuta-jimbaran-uluwatu-ubud-adventure/,59.8,18.9,12,10.9,11,7,callout-only,no,yes,Article|BreadcrumbList,no,20,0,2024-07-15,4850,文末加「常見問題」區塊（3-5題）；FAQPage schema需在SEO.astro擴充此分類才會輸出,把價格/時間/優缺點等可比較資訊改用表格或列點呈現，不要埋在敘述裡,把模糊標題（心得/後記類）改為問句式或明確主題式H2，例如「XX多少錢？」「怎麼去XX？」
bali-canang-sari-explained,【峇里島文化百科】Canang Sari 扎囊薩利：路邊彩色小祭籃的意義、色彩象徵與祭拜習俗全解析,blog,/blog/bali-canang-sari-explained/,59,11.6,24,11.4,8,4,callout-only,yes,yes,Article|BreadcrumbList|FAQPage,no,50,0,2024-07-16,1568,開頭150字內補直接回答段：針對「【峇里島文化百科】Canang Sari 扎囊薩利」先給結論（推薦名單/價格區間/具體做法），再展開細節,補具體實體資訊：店家/飯店英文原名、所在區域名、Google Maps可搜尋的地點名稱,已有快速解答callout，再加列點式TL;DR區塊（3-5點快速結論）更利AI擷取
